,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.64,0,0_0,1.821022868156433,2.433822751045227,3.5236775875091553,0.5943159937858583,0.12564098611474037,0.3638987362384797,0.27152377367019653,0.6113385558128357,0.8736794590950012,COMPLETED,Sobol,45.478456,0.6356740156532272,0.011463750006201694
3,0.565,1,1_0,3.27779333665967,4.798547223210335,2.5856543332338333,0.2594959824346006,0.7692971358075738,0.7654658768326044,0.5995651725679636,0.12434375379234552,0.32803395111113787,COMPLETED,Sobol,23.63982,0.5791296272376252,0.0138529782857649
15,0.637,2,2_0,4.382188756018877,1.0150535590946674,4.7790606543421745,0.8888013072311878,0.9105418149381876,0.9818157904781402,0.14646757300943136,0.32295697927474976,0.1056170491501689,COMPLETED,Sobol,112.368707,0.637959375922108,0.012199655972425073
27,0.588,3,3_0,2.9566176049411297,3.6278091743588448,1.8303570821881294,0.33063196334987877,0.4362708425149322,0.14409499065950515,0.9746309071779251,0.8202075874432921,0.5912287859246135,COMPLETED,Sobol,20.870224,0.5962486534198272,0.01385080769737911
39,0.602,4,4_0,2.0111092887818813,1.905113060027361,2.4141676165163517,0.4818124742247164,0.5349630316719413,0.482684515696019,0.0661560408771038,0.4462169846519828,0.15057367645204067,COMPLETED,Sobol,45.410634,0.6065597144502952,0.013822883208371379
45,0.635,5,5_0,4.59344420209527,3.2689196839928627,3.476138073951006,0.821999445836991,0.7840456325560808,0.6432056694291532,0.7971204174682498,0.9431013092398643,0.6673661526292562,COMPLETED,Sobol,63.733691,0.6319484551607257,0.013817808250683475
46,0.629,6,6_0,3.6919190920889378,2.544447910040617,1.169828113168478,0.10129795111715795,0.6431614154949784,0.877301880903542,0.4378038104623556,0.7347206706181169,0.8834716305136681,COMPLETED,Sobol,61.095713,0.6262372692237685,0.013853457030790509
47,0.626,7,7_0,1.140905823558569,4.156286641955376,4.2211164347827435,0.6681353664025664,0.22420617267489434,0.25205586235970256,0.6754821697250009,0.24711559526622295,0.43152328580617905,COMPLETED,Sobol,72.87925,0.6272343853620456,0.013715438033631767
48,0.618,8,8_0,1.4253391101956367,1.4420216232538223,1.4552332647144794,0.8500955710187554,0.6795885263010859,0.15882175648584962,0.05795626901090145,0.3767441315576434,0.20814381167292595,COMPLETED,Sobol,59.585776,0.6183666137242555,0.013832515661122462
49,0.601,9,9_0,3.9758451730012894,3.8214532546699047,4.403944376856089,0.5099078215658664,0.205358749255538,0.9117041979916394,0.8209490487352014,0.8873003385961056,0.7230770997703075,COMPLETED,Sobol,34.036035,0.606082830543147,0.013851252411332006
