,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,raw_mean,best_pred,best_sem
0,5.0,2.9451994021264034,4.75484615096672,0.47200973065917495,0.8969974578171344,0.8969974578171344,0.3402773937329931,0.3798596169499498,0.2798629893170571,10,0.705,0.7060355144574204,1.0075842446777292e-05
1,3.029309276450543,1.0000000000000007,3.4546333950630186,0.6409322191058453,0.847006944113719,0.920189839298218,0.4987435323614662,0.36370839909423763,0.13754806854429624,11,0.714,0.7289011114434689,2.5529935883598408e-05
2,4.504504853090745,1.0,3.190140937627035,0.10000000000000005,0.7323132334725267,0.8879784824136681,0.6134897315182858,0.38651026848171416,0.0,12,0.759,0.7507629157063161,5.31460632832363e-05
3,4.595672041127962,1.0000000000042049,3.56104119154957,0.4440420649229133,0.6373561844858521,0.813720557050576,0.6251694972709281,0.3576696318802385,0.017160870848833443,13,0.725,0.735321703204954,1.9656979863502115e-05
4,4.652583770000074,1.0000000000000002,3.702421094306777,0.26936260174886495,0.8797291150087586,0.8797291150087587,0.38023651080606563,0.3100567524946098,0.3097067366993246,14,0.757,0.7531039206023447,5.475834331344065e-05
5,4.6624041432582235,2.4935916513335044,3.9712127577324736,0.5824699874181539,0.6744047878550181,0.8994633484555123,0.1941232897842749,0.14503000665673096,0.6608467035589941,15,0.663,0.6872423763839951,4.474224261678535e-05
6,1.0000000000000115,5.0,1.0000000000000062,0.46061901381205017,0.4915820982707987,0.6382515441949809,0.13228845335966244,0.47509037152425304,0.3926211751160845,16,0.712,0.7352075525754034,4.2636621130201834e-05
7,1.0,4.949897542654282,2.43811812422532,0.6186944398981491,0.7478264213586371,0.8988520889462275,0.2510109041174971,0.748989095882503,0.0,17,0.706,0.7439383112720358,4.420664797684847e-05
8,4.818670733908023,1.0,1.077611199623098,0.3023981894842116,0.6050822550915744,0.8600925641322525,0.48641838976923774,0.2748557407118965,0.23872586951886576,18,0.73,0.7442413307841631,4.691595046851183e-05
9,3.955095263823266,1.0,4.277703845671013,0.2921408803850009,0.8513571034708358,0.8513571034709725,0.5332489769184232,0.43653044126658724,0.030220581814989544,19,0.751,0.7561938310963965,2.535723386800133e-05
